label,tweet,words,features,rawPrediction,probability,prediction
1,im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!,"[im, meeting, up, with, one, of, my, besties, tonight!, cant, wait!!, , -, girl, talk!!]","(1000,[26,29,44,86,120,128,238,343,372,485,499,512,650,682,916],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[0.8204171851042851,-0.8204171851042851]","[0.6943248897496723,0.3056751102503277]",0.0
1,"@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart.","[@darealsunisakim, thanks, for, the, twitter, add,, sunisa!, i, got, to, meet, you, once, at, a, hin, show, here, in, the, dc, area, and, you, were, a, sweetheart.]","(1000,[7,19,36,135,147,170,184,230,329,333,388,425,445,498,597,622,649,681,710,720,734,756,940,962],[1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0])","[-2.0132652114953182,2.0132652114953182]","[0.11781718009899453,0.8821828199010056]",1.0
1,"Being sick can be really cheap when it hurts too much to eat real food  Plus, your friends make you soup","[being, sick, can, be, really, cheap, when, it, hurts, too, much, to, eat, real, food, , plus,, your, friends, make, you, soup]","(1000,[76,196,263,310,372,374,388,425,433,442,495,524,525,569,644,653,656,666,691,833,838,845],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[2.0066652040663433,-2.0066652040663433]","[0.8814951074044263,0.11850489259557374]",0.0
1,@LovesBrooklyn2 he has that effect on everyone,"[@lovesbrooklyn2, he, has, that, effect, on, everyone]","(1000,[36,82,580,760,793,893,997],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[-0.06351211506295457,0.06351211506295457]","[0.48412730646664853,0.5158726935333514]",1.0
1,@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!,"[@productoffear, you, can, tell, him, that, i, just, burst, out, laughing, really, loud, because, of, that, , thanks, for, making, me, come, out, of, my, sulk!]","(1000,[1,36,201,230,307,310,329,343,350,372,421,425,445,471,613,654,760,833,850,916,964,972,996],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0])","[-1.2737162539870774,1.2737162539870774]","[0.21862175444148182,0.7813782455585182]",1.0
1,@r_keith_hill Thans for your response. Ihad already find this answer,"[@r_keith_hill, thans, for, your, response., ihad, already, find, this, answer]","(1000,[36,56,57,188,263,340,373,467,510,865],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[-0.30423116016803703,0.30423116016803703]","[0.4245234681520162,0.5754765318479839]",1.0
1,"@KeepinUpWKris I am so jealous, hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!!","[@keepinupwkris, i, am, so, jealous,, hope, you, had, a, great, time, in, vegas!, how, did, you, like, the, acm's?!, love, your, show!!]","(1000,[0,157,170,173,237,240,260,263,270,329,330,368,425,445,453,495,544,607,612,710,881],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[-2.7142849662611446,2.7142849662611446]","[0.062135676677423306,0.9378643233225766]",1.0
1,"@tommcfly ah, congrats mr fletcher for finally joining twitter","[@tommcfly, ah,, congrats, mr, fletcher, for, finally, joining, twitter]","(1000,[36,272,318,574,602,622,711,791,948],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[-1.685314862720377,1.685314862720377]","[0.15639297540019625,0.8436070245998037]",1.0
1,@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors,"[@e4voip, i, responded, , stupid, cat, is, helping, me, type., forgive, errors]","(1000,[121,281,329,372,389,412,456,471,615,692,830,943],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[0.16908299175499802,-0.16908299175499802]","[0.5421703282802612,0.45782967171973876]",0.0
1,crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB!,"[crazy, day, of, school., there, for, 10, hours, straiiight., about, to, watch, the, hills., @spencerpratt, told, me, too!, ha., happy, birthday, jb!]","(1000,[36,72,141,161,202,206,295,343,388,450,471,505,538,563,605,710,721,777,831,955,992],[1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[-1.4364264080720122,1.4364264080720122]","[0.1920993498221295,0.8079006501778704]",1.0
1,@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!!,"[@naughtyhaughty, how, did, i, forget, about, two, and, a, half, men?!?!?, i, love, that, show!!!]","(1000,[170,237,240,259,329,333,408,523,607,638,760,777,780,831],[1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[-0.8980110883746362,0.8980110883746362]","[0.28945939074576343,0.7105406092542367]",1.0
1,"@nileyjileyluver Haha, don't worry! You'll get the hang of it!","[@nileyjileyluver, haha,, don't, worry!, you'll, get, the, hang, of, it!]","(1000,[343,375,426,536,710,771,838,848,928,959],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[-0.32662186037623747,0.32662186037623747]","[0.41906280286620295,0.5809371971337971]",1.0
1,"@soundwav2010 At least I won't be the only one feeling lost! This may cause me many later than usual nights, already addicting","[@soundwav2010, at, least, i, won't, be, the, only, one, feeling, lost!, this, may, cause, me, many, later, than, usual, nights,, already, addicting]","(1000,[42,44,57,143,162,188,261,299,329,333,373,376,466,471,499,656,666,710,756,757,856,899],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[1.1687867664658769,-1.1687867664658769]","[0.7629256480549022,0.2370743519450979]",0.0
1,@LutheranLucciol Make sure you DM me if you post a link to that video! &lt;LOL&gt;So I don't miss it   Better get permission and blessing first?,"[@lutheranlucciol, make, sure, you, dm, me, if, you, post, a, link, to, that, video!, &lt;lol&gt;so, i, don't, miss, it, , , better, get, permission, and, blessing, first?]","(1000,[66,71,140,170,212,269,329,333,372,388,420,425,426,471,495,525,733,760,791,821,941,958,959,973],[1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[0.646411235805671,-0.646411235805671]","[0.6562012877838622,0.3437987122161378]",0.0
